# opc             name  encoding        type diff pop push
   0,              nop,      b,       T_VOID,   0, 0, 0
   1,      aconst_null,      b,     T_OBJECT,   1, 0, 1
   2,        iconst_m1,      b,        T_INT,   1, 0, 1
   3,         iconst_0,      b,        T_INT,   1, 0, 1
   4,         iconst_1,      b,        T_INT,   1, 0, 1
   5,         iconst_2,      b,        T_INT,   1, 0, 1
   6,         iconst_3,      b,        T_INT,   1, 0, 1
   7,         iconst_4,      b,        T_INT,   1, 0, 1
   8,         iconst_5,      b,        T_INT,   1, 0, 1
   9,         lconst_0,      b,       T_LONG,   2, 0, 1
  10,         lconst_1,      b,       T_LONG,   2, 0, 1
  11,         fconst_0,      b,      T_FLOAT,   1, 0, 1
  12,         fconst_1,      b,      T_FLOAT,   1, 0, 1
  13,         fconst_2,      b,      T_FLOAT,   1, 0, 1
  14,         dconst_0,      b,     T_DOUBLE,   2, 0, 1
  15,         dconst_1,      b,     T_DOUBLE,   2, 0, 1
  16,           bipush,     bc,        T_INT,   1, 0, 1
  17,           sipush,    bcc,        T_INT,   1, 0, 1
  18,              ldc,     bk,    T_ILLEGAL,   1, 0, 1
  19,            ldc_w,    bkk,    T_ILLEGAL,   1, 0, 1
  20,           ldc2_w,    bkk,    T_ILLEGAL,   2, 0, 1
  21,            iload,     bi,        T_INT,   1, 0, 1
  22,            lload,     bi,       T_LONG,   2, 0, 1
  23,            fload,     bi,      T_FLOAT,   1, 0, 1
  24,            dload,     bi,     T_DOUBLE,   2, 0, 1
  25,            aload,     bi,     T_OBJECT,   1, 0, 1
  26,          iload_0,      b,        T_INT,   1, 0, 1
  27,          iload_1,      b,        T_INT,   1, 0, 1
  28,          iload_2,      b,        T_INT,   1, 0, 1
  29,          iload_3,      b,        T_INT,   1, 0, 1
  30,          lload_0,      b,       T_LONG,   2, 0, 1
  31,          lload_1,      b,       T_LONG,   2, 0, 1
  32,          lload_2,      b,       T_LONG,   2, 0, 1
  33,          lload_3,      b,       T_LONG,   2, 0, 1
  34,          fload_0,      b,      T_FLOAT,   1, 0, 1
  35,          fload_1,      b,      T_FLOAT,   1, 0, 1
  36,          fload_2,      b,      T_FLOAT,   1, 0, 1
  37,          fload_3,      b,      T_FLOAT,   1, 0, 1
  38,          dload_0,      b,     T_DOUBLE,   2, 0, 1
  39,          dload_1,      b,     T_DOUBLE,   2, 0, 1
  40,          dload_2,      b,     T_DOUBLE,   2, 0, 1
  41,          dload_3,      b,     T_DOUBLE,   2, 0, 1
  42,          aload_0,      b,     T_OBJECT,   1, 0, 1
  43,          aload_1,      b,     T_OBJECT,   1, 0, 1
  44,          aload_2,      b,     T_OBJECT,   1, 0, 1
  45,          aload_3,      b,     T_OBJECT,   1, 0, 1
  46,           iaload,      b,        T_INT,  -1, 2, 1
  47,           laload,      b,       T_LONG,   0, 2, 1
  48,           faload,      b,      T_FLOAT,  -1, 2, 1
  49,           daload,      b,     T_DOUBLE,   0, 2, 1
  50,           aaload,      b,     T_OBJECT,  -1, 2, 1
  51,           baload,      b,        T_INT,  -1, 2, 1
  52,           caload,      b,        T_INT,  -1, 2, 1
  53,           saload,      b,        T_INT,  -1, 2, 1
  54,           istore,     bi,       T_VOID,  -1, 1, 0
  55,           lstore,     bi,       T_VOID,  -2, 1, 0
  56,           fstore,     bi,       T_VOID,  -1, 1, 0
  57,           dstore,     bi,       T_VOID,  -2, 1, 0
  58,           astore,     bi,       T_VOID,  -1, 1, 0
  59,         istore_0,      b,       T_VOID,  -1, 1, 0
  60,         istore_1,      b,       T_VOID,  -1, 1, 0
  61,         istore_2,      b,       T_VOID,  -1, 1, 0
  62,         istore_3,      b,       T_VOID,  -1, 1, 0
  63,         lstore_0,      b,       T_VOID,  -2, 1, 0
  64,         lstore_1,      b,       T_VOID,  -2, 1, 0
  65,         lstore_2,      b,       T_VOID,  -2, 1, 0
  66,         lstore_3,      b,       T_VOID,  -2, 1, 0
  67,         fstore_0,      b,       T_VOID,  -1, 1, 0
  68,         fstore_1,      b,       T_VOID,  -1, 1, 0
  69,         fstore_2,      b,       T_VOID,  -1, 1, 0
  70,         fstore_3,      b,       T_VOID,  -1, 1, 0
  71,         dstore_0,      b,       T_VOID,  -2, 1, 0
  72,         dstore_1,      b,       T_VOID,  -2, 1, 0
  73,         dstore_2,      b,       T_VOID,  -2, 1, 0
  74,         dstore_3,      b,       T_VOID,  -2, 1, 0
  75,         astore_0,      b,       T_VOID,  -1, 1, 0
  76,         astore_1,      b,       T_VOID,  -1, 1, 0
  77,         astore_2,      b,       T_VOID,  -1, 1, 0
  78,         astore_3,      b,       T_VOID,  -1, 1, 0
  79,          iastore,      b,       T_VOID,  -3, 3, 0
  80,          lastore,      b,       T_VOID,  -4, 3, 0
  81,          fastore,      b,       T_VOID,  -3, 3, 0
  82,          dastore,      b,       T_VOID,  -4, 3, 0
  83,          aastore,      b,       T_VOID,  -3, 3, 0
  84,          bastore,      b,       T_VOID,  -3, 3, 0
  85,          castore,      b,       T_VOID,  -3, 3, 0
  86,          sastore,      b,       T_VOID,  -3, 3, 0
  87,              pop,      b,       T_VOID,  -1, 1, 0
  88,             pop2,      b,       T_VOID,  -2, 2, 0
  89,              dup,      b,       T_VOID,   1, 0, 1
  90,           dup_x1,      b,       T_VOID,   1, 0, 1
  91,           dup_x2,      b,       T_VOID,   1, 0, 1
  92,             dup2,      b,       T_VOID,   2, 0, 1
  93,          dup2_x1,      b,       T_VOID,   2, 0, 1
  94,          dup2_x2,      b,       T_VOID,   2, 0, 1
  95,             swap,      b,       T_VOID,   0, 0, 0
  96,             iadd,      b,        T_INT,  -1, 2, 1
  97,             ladd,      b,       T_LONG,  -2, 2, 1
  98,             fadd,      b,      T_FLOAT,  -1, 2, 1
  99,             dadd,      b,     T_DOUBLE,  -2, 2, 1
 100,             isub,      b,        T_INT,  -1, 2, 1
 101,             lsub,      b,       T_LONG,  -2, 2, 1
 102,             fsub,      b,      T_FLOAT,  -1, 2, 1
 103,             dsub,      b,     T_DOUBLE,  -2, 2, 1
 104,             imul,      b,        T_INT,  -1, 2, 1
 105,             lmul,      b,       T_LONG,  -2, 2, 1
 106,             fmul,      b,      T_FLOAT,  -1, 2, 1
 107,             dmul,      b,     T_DOUBLE,  -2, 2, 1
 108,             idiv,      b,        T_INT,  -1, 2, 1
 109,             ldiv,      b,       T_LONG,  -2, 2, 1
 110,             fdiv,      b,      T_FLOAT,  -1, 2, 1
 111,             ddiv,      b,     T_DOUBLE,  -2, 2, 1
 112,             irem,      b,        T_INT,  -1, 2, 1
 113,             lrem,      b,       T_LONG,  -2, 2, 1
 114,             frem,      b,      T_FLOAT,  -1, 2, 1
 115,             drem,      b,     T_DOUBLE,  -2, 2, 1
 116,             ineg,      b,        T_INT,   0, 1, 1
 117,             lneg,      b,       T_LONG,   0, 1, 1
 118,             fneg,      b,      T_FLOAT,   0, 1, 1
 119,             dneg,      b,     T_DOUBLE,   0, 1, 1
 120,             ishl,      b,        T_INT,  -1, 2, 1
 121,             lshl,      b,       T_LONG,  -1, 2, 1
